date,product,rating,feedback,masterpiece
2024-04-01,Attack on Titan,4.8,액션 생존 거인 세계관,False
2024-04-02,Demon Slayer,4.9,판타지 액션 애니메이션 퀄리티,False
2024-04-03,Your Name,5.0,판타지 로맨스 감동 OST,True
2024-04-04,Jujutsu Kaisen,4.7,액션 판타지 주술 배틀,False
2024-04-05,Haikyuu,4.8,스포츠 성장 팀워크,False
2024-04-06,Spirited Away,5.0,판타지 모험 미야자키,True
2024-04-07,One Punch Man,4.6,액션 코미디 시즈엔,False
2024-04-08,Mob Psycho 100,4.7,액션 일상 초능력 성장,False
2024-04-09,Death Note,4.9,미스터리 심리 뇌성 게임,False
2024-04-10,Naruto,4.5,액션 성장 닌자,False
2024-04-11,Hunter x Hunter,4.8,판타지 모험 헌터 넨,False
2024-04-12,Promised Neverland,4.7,미스터리 서스펜스 반전,False
2024-04-13,Dr Stone,4.6,SF 모험 과학 문명,False
2024-04-14,Kaguya-sama,4.8,로맨스 코미디 두뇌전,False
2024-04-15,Vinland Saga,4.9,액션 역사 바이킹,True
2024-04-16,ReZero,4.7,판타지 이세계 루프,False
2024-04-17,Overlord,4.6,판타지 이세계 오버로드,False
2024-04-18,Shield Hero,4.5,판타지 이세계 방패영웅,False
2024-04-19,Tokyo Ghoul,4.4,액션 호러 구울,False
2024-04-20,FMAB,5.0,판타지 액션 현자 돌,True
2024-04-21,My Hero Academia,4.7,액션 초능력 히어로,False
2024-04-22,Kimi no Na wa,4.9,판타지 로맨스 몸 바뀜,False
2024-04-23,A Silent Voice,4.8,일상 성장 속죄,False
2024-04-24,Garden of Words,4.6,로맨스 일상 단편,False
2024-04-25,Weathering With You,4.7,판타지 로맨스 기상,False
2024-04-26,Gurren Lagann,4.8,SF 액션 드릴,False
2024-04-27,Cowboy Bebop,4.9,SF 서부 우주,True
2024-04-28,Evangelion,4.8,SF 호러 에바,False
2024-04-29,Steins Gate,4.9,SF 미스터리 시간여행,True
2024-04-30,Konosuba,4.5,판타지 이세계 코미디,False
